service_id,date,exception_type
0,20260320,2
1,20260320,1
3,20260320,1
0,20260429,2
1,20260429,1
3,20260429,1
0,20260504,2
1,20260504,1
3,20260504,1
0,20260505,2
1,20260505,1
3,20260505,1
0,20260506,2
1,20260506,1
3,20260506,1
0,20260720,2
1,20260720,1
3,20260720,1
0,20260811,2
1,20260811,1
3,20260811,1
0,20260921,2
1,20260921,1
3,20260921,1
0,20260922,2
1,20260922,1
3,20260922,1
0,20260923,2
1,20260923,1
3,20260923,1
0,20261012,2
1,20261012,1
3,20261012,1
0,20261103,2
1,20261103,1
3,20261103,1
0,20261123,2
1,20261123,1
3,20261123,1
